,#,FORM,LEMMA,GRAM,COMMENT,CHECKED,RIGHT1,RIGHT2,RIGHT3,RIGHT4,RIGHT5,RIGHT6,POS,AUTO_LEMMA,AUTO_GRAM
45790,#doc=describingvideo2.txt,,,,,,,,,,,,,,
45791,1,﻿,﻿,﻿,﻿,PUNC,3,предик,_,_,,,,,
45792,2,SViBLASH,SVIBLASH,NONLEX,,NONLEX,1,аппоз,_,_,,,NONLEX,SVIBLASH,NONLEX
45793,3,@,@,@,,PUNC,0,ROOT,_,_,,,@,@,@
45794,4,Итак,ИТАК,PARENTH,,CONJ,3,сравнит,_,_,,,CONJ,ИТАК,CONJ
45795,5,",",",",",",,PUNC,4,PUNC,_,_,,,",",",",","
45796,6,сегодня,СЕГОДНЯ,ADV -,,ADV -,0,ROOT,_,_,,,ADV,СЕГОДНЯ,ADV -
45797,7,мы,МЫ,SPRO pl 1p - nom,,SPRO pl 1p - nom,0,ROOT,_,_,,,SPRO,МЫ,SPRO pl 1p - nom
45798,8,будем,БЫТЬ,V ipf - pl fut - 1p,,V ipf - pl imper - 1p,10,опред,_,_,,,V,БЫТЬ,V ipf - pl imper - 1p
45799,9,<,<,<,,PUNC,10,опред,_,_,,,<,<,<
45800,10,distinct,DISTINCT,NONLEX,,NONLEX,12,композ,_,_,,,NONLEX,DISTINCT,NONLEX
45801,11,form,FORM,NONLEX,,NONLEX,10,аппоз,_,_,,,NONLEX,FORM,NONLEX
45802,12,#ERROR!,#ERROR!,#ERROR!,,PUNC,14,1-компл,_,_,,,#ERROR!,#ERROR!,#ERROR!
45803,13,	,_,PUNC,,14,PUNC,_,_,,,,_,_,PUNC
45804,14,стреть,СТРЕТЬ,distort,,V pf - - inf - -,17,1-компл,_,_,,,V,СТРЕТЬ,V pf - - inf - -
45805,15,	,_,PUNC,,14,PUNC,_,_,,,,_,_,PUNC
45806,16,>,>,>,,PUNC,19,опред,_,_,,,>,>,>
45807,17,смотреть,СМОТРЕТЬ,V ipf - - inf - -,,V ipf - - inf - -,16,1-компл,_,_,,,V,СМОТРЕТЬ,V ipf - - inf - -
45808,18,<,<,<,,PUNC,17,1-компл,_,_,,,<,<,<
45809,19,/,/,/,,PUNC,0,ROOT,_,_,,,/,/,/
45810,20,distinct,DISTINCT,NONLEX,,NONLEX,19,аппоз,_,_,,,NONLEX,DISTINCT,NONLEX
45811,21,>,>,>,,PUNC,19,опред,_,_,,,>,>,>
45812,22,видео,ВИДЕО,S n inan acc sg,,S f inan nonflex nonflex,21,1-компл,_,_,,,S,ВИДЕО,S f inan nonflex nonflex
45813,23,под,ПОД,PR,,PR,21,2-компл,_,_,,,PR,ПОД,PR
45814,24,названием...,НАЗВАНИЕ...,S m inan ins sg,,S m inan gen sg,23,предл,_,_,,,S,НАЗВАНИЕ...,S m inan gen sg
45815,25,да,ДА,PART,,CONJ,19,сочин,_,_,,,CONJ,ДА,CONJ
45816,26,неважно,НЕВАЖНО,PRAEDIC,,ADV -,25,соч-союзн,_,_,,,ADV,НЕВАЖНО,ADV -
45817,27,.,.,SENT,,SENT,26,PUNC,_,_,,,SENT,.,SENT
45818,,,,,,,,,,,,,,,
45819,1,SViBLASH,SVIBLASH,NONLEX,,NONLEX,2,предик,_,_,,,NONLEX,SVIBLASH,NONLEX
45820,2,@,@,@,,PUNC,6,1-компл,_,_,,,@,@,@
45821,3,Итак,ИТАК,PARENTH,,CONJ,2,сравнит,_,_,,,CONJ,ИТАК,CONJ
45822,4,",",",",",",,PUNC,3,PUNC,_,_,,,",",",",","
45823,5,тут,ТУТ,ADVPRO,,ADV -,6,обст,_,_,,,ADV,ТУТ,ADV -
45824,6,появился,ПОЯВИТЬСЯ,V pf praet sg indic m 3p,,V pf praet sg indic m -,0,ROOT,_,_,,,V,ПОЯВИТЬСЯ,V pf praet sg indic m -
45825,7,какой-то,КАКОЙ-ТО,APRO - nom sg plen m 3p,,A - nom sg plen m -,9,опред,_,_,,,A,КАКОЙ-ТО,A - nom sg plen m -
45826,8,зубастый,ЗУБАСТЫЙ,A - nom sg plen m 3p,,A - nom sg plen m -,9,опред,_,_,,,A,ЗУБАСТЫЙ,A - nom sg plen m -
45827,9,жук,ЖУК,S m anim nom sg,,S m anim nom sg,6,предик,_,_,,,S,ЖУК,S m anim nom sg
45828,10,",",",",",",,PUNC,9,PUNC,_,_,,,",",",",","
45829,11,который,КОТОРЫЙ,APRO - nom sg plen m 3p,,A - nom sg plen m -,12,предик,_,_,,,A,КОТОРЫЙ,A - nom sg plen m -
45830,12,моргает,МОРГАТЬ,V ipf praes sg indic m 3p,,V ipf praes sg indic - 3p,6,сент-соч,_,_,,,V,МОРГАТЬ,V ipf praes sg indic - 3p
45831,13,",",",",",",,PUNC,12,PUNC,_,_,,,",",",",","
45832,14,смотрит,СМОТРЕТЬ,V ipf praes sg indic m 3p,,V ipf praes sg indic - 3p,12,сент-соч,_,_,,,V,СМОТРЕТЬ,V ipf praes sg indic - 3p
45833,15,на...,НА...,PR,,PR,14,1-компл,_,_,,,PR,НА...,PR
45834,16,что,ЧТО,SPRO n inan acc sg,,S n inan acc sg,15,предл,_,_,,,S,ЧТО,S n inan acc sg
45835,17,это,ЭТО,SPRO n inan nom sg,,S n - nom sg,0,ROOT,_,_,,,S,ЭТО,S n - nom sg
45836,18,вообще,ВООБЩЕ,APRO -,,ADV -,17,огранич,_,_,,,ADV,ВООБЩЕ,ADV -
45837,19,?,?,SENT,,SENT,18,PUNC,_,_,,,SENT,?,SENT
45838,,,,,,,,,,,,,,,
45839,1,Он,ОН,SPRO sg 3p m nom,,SPRO sg 3p m nom,5,предик,_,_,,,SPRO,ОН,SPRO sg 3p m nom
45840,2,",",",",",",,PUNC,1,PUNC,_,_,,,",",",",","
45841,3,походу,ПОХОДУ,PARENTH,,S m inan dat sg,1,вводн,_,_,,,S,ПОХОД,S m inan dat sg
45842,4,",",",",",",,PUNC,3,PUNC,_,_,,,",",",",","
45843,5,учёный,УЧЕНЫЙ,S m anim nom sg,,S m anim nom sg,0,ROOT,_,_,,,S,УЧЕНЫЙ,S m anim nom sg
45844,6,какой-то,КАКОЙ-ТО,APRO - nom sg plen m 3p,,A - nom sg plen m -,5,опред,_,_,,,A,КАКОЙ-ТО,A - nom sg plen m -
45845,7,;,;,SENT,,SENT,6,PUNC,_,_,,,SENT,;,SENT
45846,,,,,,,,,,,,,,,
45847,1,у,У,PR,,PR,0,ROOT,_,_,,,PR,У,PR
45848,2,него,ОН,SPRO sg 3p m gen,,SPRO sg 3p m acc,1,предл,_,_,,,SPRO,ОН,SPRO sg 3p m acc
45849,3,там,ТАМ,ADVPRO,,ADV -,1,обст,_,_,,,ADV,ТАМ,ADV -
45850,4,",",",",",",,PUNC,3,PUNC,_,_,,,",",",",","
45851,5,знаете,ЗНАТЬ,V ipf praes pl indic - 2p,,V ipf praes pl indic - 2p,1,предик,_,_,,,V,ЗНАТЬ,V ipf praes pl indic - 2p
45852,6,",",",",",",,PUNC,5,PUNC,_,_,,,",",",",","
45853,7,на,НА,PR,,PR,11,вводн,_,_,,,PR,НА,PR
45854,8,стене,СТЕНА,S f inan loc sg,,S f inan loc sg,7,предл,_,_,,,S,СТЕНА,S f inan loc sg
45855,9,там,ТАМ,ADVPRO,,ADV -,11,обст,_,_,,,ADV,ТАМ,ADV -
45856,10,разные,РАЗНЫЙ,A - acc pl plen - inan,,A - acc pl plen - inan,11,опред,_,_,,,A,РАЗНЫЙ,A - acc pl plen - inan
45857,11,чертежи,ЧЕРТЕЖ,S m inan nom pl,,S m inan acc pl,5,1-компл,_,_,,,S,ЧЕРТЕЖ,S m inan acc pl
45858,12,",",",",",",,PUNC,11,PUNC,_,_,,,",",",",","
45859,13,ч...,Ч...,S - - nonflex nonflex,,S m inan nonflex nonflex,11,сочин,_,_,,,S,Ч...,S m inan nonflex nonflex
45860,14,головы,ГОЛОВА,S f inan gen sg,,S f inan gen sg,13,1-компл,_,_,,,S,ГОЛОВА,S f inan gen sg
45861,15,человеческого,ЧЕЛОВЕЧЕСКИЙ,A - gen sg plen n inan,,A - gen sg plen n -,16,опред,_,_,,,A,ЧЕЛОВЕЧЕСКИЙ,A - gen sg plen n -
45862,16,тела,ТЕЛО,S n inan gen sg,,S n inan gen sg,14,квазиагент,_,_,,,S,ТЕЛО,S n inan gen sg
45863,17,;,;,SENT,,SENT,16,PUNC,_,_,,,SENT,;,SENT
45864,,,,,,,,,,,,,,,
45865,1,как-то,КАК-ТО,ADVPRO,,ADV -,2,огранич,_,_,,,ADV,КАК-ТО,ADV -
45866,2,странно,СТРАННО,ADV,,ADV -,0,ROOT,_,_,,,ADV,СТРАННО,ADV -
45867,3,",",",",",",,PUNC,2,PUNC,_,_,,,",",",",","
45868,4,ведь,ВЕДЬ,CONJ,,CONJ,2,разъяснит,_,_,,,CONJ,ВЕДЬ,CONJ
45869,5,он,ОН,SPRO sg 3p m nom,,SPRO sg 3p m nom,6,предик,_,_,,,SPRO,ОН,SPRO sg 3p m nom
45870,6,жук,ЖУК,S m anim nom sg,,S m anim nom sg,4,соч-союзн,_,_,,,S,ЖУК,S m anim nom sg
45871,7,",",",",",",,PUNC,6,PUNC,_,_,,,",",",",","
45872,8,причём,ПРИЧЕМ,CONJ,,CONJ,2,сент-соч,_,_,,,CONJ,ПРИЧЕМ,CONJ
45873,9,тут,ТУТ,ADVPRO,,ADV -,10,обст,_,_,,,ADV,ТУТ,ADV -
45874,10,человек,ЧЕЛОВЕК,S m anim nom sg,,S m anim nom sg,8,соч-союзн,_,_,,,S,ЧЕЛОВЕК,S m anim nom sg
45875,11,?,?,SENT,,SENT,10,PUNC,_,_,,,SENT,?,SENT
45876,,,,,,,,,,,,,,,
45877,1,Часы,ЧАСЫ,S - inan nom pl,,S - inan nom pl,0,ROOT,_,_,,,S,ЧАСЫ,S - inan nom pl
45878,2,какие-то,КАКОЙ-ТО,APRO - nom pl plen - inan,,A - nom pl plen - -,0,ROOT,_,_,,,A,КАКОЙ-ТО,A - nom pl plen - -
45879,3,",",",",",",,PUNC,2,PUNC,_,_,,,",",",",","
45880,4,песочные,ПЕСОЧНЫЙ,APRO - nom pl plen - inan,,A - nom pl plen - -,2,сочин,_,_,,,A,ПЕСОЧНЫЙ,A - nom pl plen - -
45881,5,.,.,SENT,,SENT,4,PUNC,_,_,,,SENT,.,SENT
45882,,,,,,,,,,,,,,,
45883,1,Он,ОН,SPRO sg 3p m nom,,SPRO sg 3p m nom,4,предик,_,_,,,SPRO,ОН,SPRO sg 3p m nom
45884,2,на,НА,PR,,PR,4,обст,_,_,,,PR,НА,PR
45885,3,них,ОНИ,SPRO pl - - loc,,SPRO pl - - loc,2,предл,_,_,,,SPRO,ОНИ,SPRO pl - - loc
45886,4,смотрит,СМОТРЕТЬ,V ipf praes sg indic m 3p,,V ipf praes sg indic - 3p,0,ROOT,_,_,,,V,СМОТРЕТЬ,V ipf praes sg indic - 3p
45887,5,вот,ВОТ,PART,,PART,6,огранич,_,_,,,PART,ВОТ,PART
45888,6,такими,ТАКОЙ,A - ins pl plen - -,,A - ins pl plen - -,8,опред,_,_,,,A,ТАКОЙ,A - ins pl plen - -
45889,7,вот,ВОТ,PART,,PART,8,огранич,_,_,,,PART,ВОТ,PART
45890,8,глазами,ГЛАЗ,S m inan ins pl,,S m inan ins pl,4,обст,_,_,,,S,ГЛАЗ,S m inan ins pl
45891,9,.,.,SENT,,SENT,8,PUNC,_,_,,,SENT,.,SENT
45892,,,,,,,,,,,,,,,
45893,1,У,У,PR,,PR,0,ROOT,_,_,,,PR,У,PR
45894,2,него,ОН,SPRO sg 3p m gen,,SPRO sg 3p m acc,1,предл,_,_,,,SPRO,ОН,SPRO sg 3p m acc
45895,3,там,ТАМ,ADVPRO,,ADV -,1,обст,_,_,,,ADV,ТАМ,ADV -
45896,4,книга,КНИГА,S f inan nom sg,,S f inan nom sg,1,предик,_,_,,,S,КНИГА,S f inan nom sg
45897,5,какая-то,КАКОЙ-ТО,APRO - nom sg plen f -,,A - nom sg plen f -,4,опред,_,_,,,A,КАКОЙ-ТО,A - nom sg plen f -
45898,6,в,В,PR,,PR,5,атриб,_,_,,,PR,В,PR
45899,7,руках,РУКА,S f inan loc pl,,S f inan loc pl,6,предл,_,_,,,S,РУКА,S f inan loc pl
45900,8,;,;,SENT,,SENT,7,PUNC,_,_,,,SENT,;,SENT
45901,,,,,,,,,,,,,,,
45902,1,он,ОН,SPRO sg 3p m nom,,SPRO sg 3p m nom,3,предик,_,_,,,SPRO,ОН,SPRO sg 3p m nom
45903,2,её,ОНА,SPRO sg 3p f acc,,SPRO sg 3p f acc,3,1-компл,_,_,,,SPRO,ОНА,SPRO sg 3p f acc
45904,3,открывает,ОТКРЫВАТЬ,V ipf praes sg indic m 3p,,V ipf praes sg indic - 3p,0,ROOT,_,_,,,V,ОТКРЫВАТЬ,V ipf praes sg indic - 3p
45905,4,",",",",",",,PUNC,3,PUNC,_,_,,,",",",",","
45906,5,смотрит,СМОТРЕТЬ,V ipf praes sg indic m 3p,,V ipf praes sg indic - 3p,3,сочин,_,_,,,V,СМОТРЕТЬ,V ipf praes sg indic - 3p
45907,6,",",",",",",,PUNC,5,PUNC,_,_,,,",",",",","
45908,7,там,ТАМ,ADVPRO,,ADV -,5,обст,_,_,,,ADV,ТАМ,ADV -
45909,8,на,НА,PR,,PR,5,1-компл,_,_,,,PR,НА,PR
45910,9,эльфийском,ЭЛЬФИЙСКИЙ,A - loc sg plen m 3p,,A - loc sg plen m -,8,предл,_,_,,,A,ЭЛЬФИЙСКИЙ,A - loc sg plen m -
45911,10,",",",",",",,PUNC,9,PUNC,_,_,,,",",",",","
45912,11,походу,ПОХОДУ,PARENTH,,S m inan dat sg,5,сочин,_,_,,,S,ПОХОД,S m inan dat sg
45913,12,",",",",",",,PUNC,11,PUNC,_,_,,,",",",",","
45914,13,написано,НАПИСАТЬ,PARTCP pf praet - sg brev n pass -,,PARTCP pf praet - sg brev n pass -,3,пасс-анал,_,_,,,PARTCP,НАПИСАТЬ,PARTCP pf praet - sg brev n pass -
45915,14,;,;,SENT,,SENT,13,PUNC,_,_,,,SENT,;,SENT
45916,,,,,,,,,,,,,,,
45917,1,не,НЕ,PART,,PART,2,огранич,_,_,,,PART,НЕ,PART
45918,2,знаю,ЗНАТЬ,V ipf praes sg indic - 1p,,V ipf praes sg indic - 1p,0,ROOT,_,_,,,V,ЗНАТЬ,V ipf praes sg indic - 1p
45919,3,",",",",",",,PUNC,2,PUNC,_,_,,,",",",",","
45920,4,он,ОН,SPRO sg 3p m nom,,SPRO sg 3p m nom,6,предик,_,_,,,SPRO,ОН,SPRO sg 3p m nom
45921,5,же,ЖЕ,PART,,PART,4,огранич,_,_,,,PART,ЖЕ,PART
45922,6,жук,ЖУК,S m anim nom sg,,S m anim nom sg,2,сент-соч,_,_,,,S,ЖУК,S m anim nom sg
45923,7,",",",",",",,PUNC,6,PUNC,_,_,,,",",",",","
45924,8,причём,ПРИЧЕМ,CONJ,,CONJ,6,сочин,_,_,,,CONJ,ПРИЧЕМ,CONJ
45925,9,здесь,ЗДЕСЬ,ADVPRO,,ADV -,10,обст,_,_,,,ADV,ЗДЕСЬ,ADV -
45926,10,эльфийский,ЭЛЬФИЙСКИЙ,A - nom sg plen m 3p,,A - nom sg plen m -,8,соч-союзн,_,_,,,A,ЭЛЬФИЙСКИЙ,A - nom sg plen m -
45927,11,?,?,SENT,,SENT,10,PUNC,_,_,,,SENT,?,SENT
45928,,,,,,,,,,,,,,,
45929,1,Муку,МУКА,S f inan acc sg,,S f inan acc sg,15,1-компл,_,_,,,S,МУКА,S f inan acc sg
45930,2,какую-то,КАКОЙ-ТО,APRO - acc sg plen f inan,,A - acc sg plen f inan,3,опред,_,_,,,A,КАКОЙ-ТО,A - acc sg plen f inan
45931,3,<,<,<,,PUNC,15,2-компл,_,_,,,<,<,<
45932,4,distinct,DISTINCT,NONLEX,,NONLEX,3,аппоз,_,_,,,NONLEX,DISTINCT,NONLEX
45933,5,form,FORM,NONLEX,,NONLEX,4,аппоз,_,_,,,NONLEX,FORM,NONLEX
45934,6,#ERROR!,#ERROR!,#ERROR!,,PUNC,3,сочин,_,_,,,#ERROR!,#ERROR!,#ERROR!
45935,7,	,_,PUNC,,8,PUNC,_,_,,,,_,_,PUNC
45936,8,достаё,ДОСТАВАТЬ,distort,,S m inan loc sg,6,аппоз,_,_,,,S,ДОСТАЙ,S m inan loc sg
45937,9,	,_,PUNC,,8,PUNC,_,_,,,,_,_,PUNC
45938,10,>,>,>,,PUNC,11,предик,_,_,,,>,>,>
45939,11,достаёт,ДОСТАВАТЬ,V ipf praes sg indic m 3p,,V ipf praes sg indic - 3p,3,релят,_,_,,,V,ДОСТАВАТЬ,V ipf praes sg indic - 3p
45940,12,<,<,<,,PUNC,11,1-компл,_,_,,,<,<,<
45941,13,/,/,/,,PUNC,14,опред,_,_,,,/,/,/
45942,14,distinct,DISTINCT,NONLEX,,NONLEX,15,предик,_,_,,,NONLEX,DISTINCT,NONLEX
45943,15,>,>,>,,PUNC,0,ROOT,_,_,,,>,>,>
45944,16,...,...,SENT,,SENT,15,PUNC,_,_,,,SENT,...,SENT
45945,,,,,,,,,,,,,,,
45946,1,Или,ИЛИ,CONJ,,CONJ,0,ROOT,_,_,,,CONJ,ИЛИ,CONJ
45947,2,это,ЭТО,SPRO n inan nom sg,,S n - nom sg,16,предик,_,_,,,S,ЭТО,S n - nom sg
45948,3,кубик,КУБИК,S m inan nom sg,,S m inan nom sg,7,композ,_,_,,,S,КУБИК,S m inan nom sg
45949,4,<,<,<,,PUNC,5,опред,_,_,,,<,<,<
45950,5,distinct,DISTINCT,NONLEX,,NONLEX,3,ном-аппоз,_,_,,,NONLEX,DISTINCT,NONLEX
45951,6,form,FORM,NONLEX,,NONLEX,5,аппоз,_,_,,,NONLEX,FORM,NONLEX
45952,7,#ERROR!,#ERROR!,#ERROR!,,PUNC,14,опред,_,_,,,#ERROR!,#ERROR!,#ERROR!
45953,8,	,_,PUNC,,9,PUNC,_,_,,,,_,_,PUNC
45954,9,ка,КАКОЙ-ТО,distort,,PART,11,огранич,_,_,,,PART,КА,PART
45955,10,	,_,PUNC,,11,PUNC,_,_,,,,_,_,PUNC
45956,11,>,>,>,,PUNC,14,опред,_,_,,,>,>,>
45957,12,какой-то,КАКОЙ-ТО,A - nom sg plen f -,,A - gen sg plen f -,14,опред,_,_,,,A,КАКОЙ-ТО,A - gen sg plen f -
45958,13,<,<,<,,PUNC,14,опред,_,_,,,<,<,<
45959,14,/,/,/,,PUNC,16,1-компл,_,_,,,/,/,/
45960,15,distinct,DISTINCT,NONLEX,,NONLEX,14,аппоз,_,_,,,NONLEX,DISTINCT,NONLEX
45961,16,>,>,>,,PUNC,1,соч-союзн,_,_,,,>,>,>
45962,17,...?,...?,SENT,,SENT,16,PUNC,_,_,,,SENT,...?,SENT
45963,,,,,,,,,,,,,,,
45964,1,А,А,CONJ,,CONJ,0,ROOT,_,_,,,CONJ,А,CONJ
45965,2,",",",",",",,PUNC,1,PUNC,_,_,,,",",",",","
45966,3,нет,НЕТ,PART,,PART,21,вводн,_,_,,,PART,НЕТ,PART
45967,4,",",",",",",,PUNC,3,PUNC,_,_,,,",",",",","
45968,5,это,ЭТО,SPRO n - nom sg,,S n - nom sg,21,предик,_,_,,,S,ЭТО,S n - nom sg
45969,6,<,<,<,,PUNC,7,опред,_,_,,,<,<,<
45970,7,distinct,DISTINCT,NONLEX,,NONLEX,9,композ,_,_,,,NONLEX,DISTINCT,NONLEX
45971,8,form,FORM,NONLEX,,NONLEX,7,аппоз,_,_,,,NONLEX,FORM,NONLEX
45972,9,#ERROR!,#ERROR!,#ERROR!,,PUNC,13,композ,_,_,,,#ERROR!,#ERROR!,#ERROR!
45973,10,	,_,PUNC,,9,PUNC,_,_,,,,_,_,PUNC
45974,11,всё,ВСЕ,ADV -,,ADV -,13,обст,_,_,,,ADV,ВСЕ,ADV -
45975,12,-,-,-,,PUNC,11,PUNC,_,_,,,-,-,-
45976,13,тки,ВСЁ-ТАКИ,distort,Слитно,V ipf - sg imper - 2p,15,композ,_,_,,,V,ТКАТЬ,V ipf - sg imper - 2p
45977,14,	,_,PUNC,,13,PUNC,_,_,,,,_,_,PUNC
45978,15,>,>,>,,PUNC,18,опред,_,_,,,>,>,>
45979,16,всё-таки,ВСЕ-ТАКИ,PART,,PART,17,огранич,_,_,,,PART,ВСЕ-ТАКИ,PART
45980,17,<,<,<,,PUNC,18,опред,_,_,,,<,<,<
45981,18,/,/,/,,PUNC,20,2-компл,_,_,,,/,/,/
45982,19,distinct,DISTINCT,NONLEX,,NONLEX,18,аппоз,_,_,,,NONLEX,DISTINCT,NONLEX
45983,20,>,>,>,,PUNC,21,опред,_,_,,,>,>,>
45984,21,мука,МУКА,S f inan nom sg,,S f inan nom sg,1,соч-союзн,_,_,,,S,МУКА,S f inan nom sg
45985,22,!,!,SENT,,SENT,21,PUNC,_,_,,,SENT,!,SENT
45986,,,,,,,,,,,,,,,
45987,1,Метамфетамин,МЕТАМФЕТАМИН,S m inan gen sg,,S m inan gen sg,3,1-компл,_,_,,,S,МЕТАМФЕТАМИН,S m inan gen sg
45988,2,тоже,ТОЖЕ,PART,,PART,3,огранич,_,_,,,PART,ТОЖЕ,PART
45989,3,достал,ДОСТАТЬ,V pf praet sg indic m 3p,,V pf praet sg indic m -,0,ROOT,_,_,,,V,ДОСТАТЬ,V pf praet sg indic m -
45990,4,.,.,SENT,,SENT,3,PUNC,_,_,,,SENT,.,SENT
45991,,,,,,,,,,,,,,,
45992,1,И,И,CONJ,,CONJ,0,ROOT,_,_,,,CONJ,И,CONJ
45993,2,делает,ДЕЛАТЬ,V ipf praes sg indic m 3p,,V ipf praes sg indic - 3p,1,соч-союзн,_,_,,,V,ДЕЛАТЬ,V ipf praes sg indic - 3p
45994,3,из,ИЗ,PR,,PR,2,2-компл,_,_,,,PR,ИЗ,PR
45995,4,всего,ВСЁ,SPRO sg 3p n gen,,A - acc sg plen m anim,5,опред,_,_,,,A,ВЕСЬ,A - acc sg plen m anim
45996,5,этого,ЭТО,APRO n inan gen sg,,S n inan gen sg,3,предл,_,_,,,S,ЭТО,S n inan gen sg
45997,6,пирог,ПИРОГ,S m inan acc sg,,S m inan acc sg,2,1-компл,_,_,,,S,ПИРОГ,S m inan acc sg
45998,7,что,ЧТО,CONJ,,CONJ,6,1-компл,_,_,,,CONJ,ЧТО,CONJ
45999,8,ли,ЛИ,PART,,PART,7,огранич,_,_,,,PART,ЛИ,PART
46000,9,какой-то,КАКОЙ-ТО,A - nom sg plen m -,,A - nom sg plen m -,7,подч-союзн,_,_,,,A,КАКОЙ-ТО,A - nom sg plen m -
46001,10,",",",",",",,PUNC,9,PUNC,_,_,,,",",",",","
46002,11,не,НЕ,PART,,PART,12,огранич,_,_,,,PART,НЕ,PART
46003,12,знаю,ЗНАТЬ,V ipf praes sg indic - 1p,,V ipf praes sg indic - 1p,2,сочин,_,_,,,V,ЗНАТЬ,V ipf praes sg indic - 1p
46004,13,.,.,SENT,,SENT,12,PUNC,_,_,,,SENT,.,SENT
46005,,,,,,,,,,,,,,,
46006,1,SViBLASH,SVIBLASH,NONLEX,,NONLEX,3,предик,_,_,,,NONLEX,SVIBLASH,NONLEX
46007,2,@,@,@,,PUNC,3,1-компл,_,_,,,@,@,@
46008,3,Знаете,ЗНАТЬ,V ipf praes pl indic - 2p,,V ipf praes pl indic - 2p,0,ROOT,_,_,,,V,ЗНАТЬ,V ipf praes pl indic - 2p
46009,4,",",",",",",,PUNC,3,PUNC,_,_,,,",",",",","
46010,5,он,ОН,SPRO sg 3p m nom,,SPRO sg 3p m nom,14,предик,_,_,,,SPRO,ОН,SPRO sg 3p m nom
46011,6,ещё,ЕЩЕ,PART,,ADV -,7,огранич,_,_,,,ADV,ЕЩЕ,ADV -
46012,7,в,В,PR,,PR,14,обст,_,_,,,PR,В,PR
46013,8,такой,ТАКОЙ,APRO - loc sg plen f 3p,,A - loc sg plen f -,10,опред,_,_,,,A,ТАКОЙ,A - loc sg plen f -
46014,9,странной,СТРАННЫЙ,A - loc sg plen f 3p,,A - loc sg plen f -,10,опред,_,_,,,A,СТРАННЫЙ,A - loc sg plen f -
46015,10,маске,МАСКА,S f inan loc sg,,S f inan loc sg,7,предл,_,_,,,S,МАСКА,S f inan loc sg
46016,11,",",",",",",,PUNC,10,PUNC,_,_,,,",",",",","
46017,12,и,И,CONJ,,CONJ,7,сочин,_,_,,,CONJ,И,CONJ
46018,13,он,ОН,SPRO sg 3p m nom,,SPRO sg 3p m nom,12,соч-союзн,_,_,,,SPRO,ОН,SPRO sg 3p m nom
46019,14,её,ОНА,SPRO sg 3p f acc,,SPRO sg 3p f acc,3,1-компл,_,_,,,SPRO,ОНА,SPRO sg 3p f acc
46020,15,",",",",",",,PUNC,14,PUNC,_,_,,,",",",",","
46021,16,типа,ТИПА,PARENTH,,S m inan gen sg,14,атриб,_,_,,,S,ТИП,S m inan gen sg
46022,17,",",",",",",,PUNC,16,PUNC,_,_,,,",",",",","
46023,18,пот,ПОТ,S m inan acc sg,,S m inan nom sg,19,предик,_,_,,,S,ПОТ,S m inan nom sg
46024,19,утёр,УТЕРЕТЬ,V pf praet sg indic m 3p,,V pf praet sg indic m -,3,сент-соч,_,_,,,V,УТЕРЕТЬ,V pf praet sg indic m -
46025,20,со,СО,PR,,PR,19,1-компл,_,_,,,PR,СО,PR
46026,21,лба,ЛОБ,S m inan gen sg,,S m inan gen sg,20,предл,_,_,,,S,ЛОБ,S m inan gen sg
