,#,FORM,LEMMA,GRAM,COMMENT,CHECKED,RIGHT1,RIGHT2,RIGHT3,RIGHT4,RIGHT5,RIGHT6,POS,AUTO_LEMMA,AUTO_GRAM
46259,10,общем,ОБЩИЙ,A - loc sg plen m -,,A - loc sg plen m -,9,предл,_,_,,,A,ОБЩИЙ,A - loc sg plen m -
46260,11,",",",",",",,PUNC,10,PUNC,_,_,,,",",",",","
46261,12,обращается,ОБРАЩАТЬСЯ,V ipf praes sg indic m 3p,,V ipf praes sg indic - 3p,3,сочин,_,_,,,V,ОБРАЩАТЬСЯ,V ipf praes sg indic - 3p
46262,13,как бы,как бы,ADVPRO,,-,14,огранич,_,_,,,ADV,как бы,ADV -
46263,14,как,КАК,CONJ,,ADV -,15,огранич,_,_,,,ADV,КАК,ADV -
46264,15,с,С,PR,,PR,12,2-компл,_,_,,,PR,С,PR
46265,16,<,<,<,,PUNC,15,предл,_,_,,,<,<,<
46266,17,distinct,DISTINCT,NONLEX,,NONLEX,16,аппоз,_,_,,,NONLEX,DISTINCT,NONLEX
46267,18,form,FORM,NONLEX,,NONLEX,17,аппоз,_,_,,,NONLEX,FORM,NONLEX
46268,19,#ERROR!,#ERROR!,#ERROR!,,PUNC,16,опред,_,_,,,#ERROR!,#ERROR!,#ERROR!
46269,20,	,_,PUNC,,21,PUNC,_,_,,,,_,_,PUNC
46270,21,сест,СЕСТРА,distort,,S m inan acc sg,19,1-компл,_,_,,,S,СЕСТ,S m inan acc sg
46271,22,	,_,PUNC,,21,PUNC,_,_,,,,_,_,PUNC
46272,23,>,>,>,,PUNC,24,опред,_,_,,,>,>,>
46273,24,сестрой,СЕСТРА,S f anim ins sg,,S f anim ins sg,19,агент,_,_,,,S,СЕСТРА,S f anim ins sg
46274,25,<,<,<,,PUNC,26,опред,_,_,,,<,<,<
46275,26,/,/,/,,PUNC,19,1-компл,_,_,,,/,/,/
46276,27,distinct,DISTINCT,NONLEX,,NONLEX,26,аппоз,_,_,,,NONLEX,DISTINCT,NONLEX
46277,28,>,>,>,,PUNC,12,1-компл,_,_,,,>,>,>
46278,29,...,...,SENT,,SENT,28,PUNC,_,_,,,SENT,...,SENT
46279,,,,,,,,,,,,,,,
46280,1,О,О,INTJ,,INTJ,0,ROOT,_,_,,,INTJ,О,INTJ
46281,2,!,!,SENT,,SENT,1,PUNC,_,_,,,SENT,!,SENT
46282,,,,,,,,,,,,,,,
46283,1,Проверяет,ПРОВЕРЯТЬ,V ipf praes sg indic m 3p,,V ipf praes sg indic - 3p,0,ROOT,_,_,,,V,ПРОВЕРЯТЬ,V ipf praes sg indic - 3p
46284,2,зрение,ЗРЕНИЕ,S n inan acc sg,,S n inan nom sg,1,предик,_,_,,,S,ЗРЕНИЕ,S n inan nom sg
46285,3,",",",",",",,PUNC,2,PUNC,_,_,,,",",",",","
46286,4,хотя,ХОТЯ,CONJ,,CONJ,1,обст,_,_,,,CONJ,ХОТЯ,CONJ
46287,5,это,ЭТО,S n inan nom sg,,S n - nom sg,6,предик,_,_,,,S,ЭТО,S n - nom sg
46288,6,странно,СТРАННЫЙ,ADV -,,A - - sg brev n -,4,подч-союзн,_,_,,,A,СТРАННЫЙ,A - - sg brev n -
46289,7,очень,ОЧЕНЬ,ADV -,,ADV -,6,обст,_,_,,,ADV,ОЧЕНЬ,ADV -
46290,8,.,.,SENT,,SENT,7,PUNC,_,_,,,SENT,.,SENT
46291,,,,,,,,,,,,,,,
46292,1,Или,ИЛИ,CONJ,,CONJ,0,ROOT,_,_,,,CONJ,ИЛИ,CONJ
46293,2,не,НЕ,PART,,PART,3,огранич,_,_,,,PART,НЕ,PART
46294,3,зрение,ЗРЕНИЕ,S n inan acc sg,,S n inan nom sg,1,соч-союзн,_,_,,,S,ЗРЕНИЕ,S n inan nom sg
46295,4,",",",",",",,PUNC,3,PUNC,_,_,,,",",",",","
46296,5,не,НЕ,PART,,PART,6,огранич,_,_,,,PART,НЕ,PART
46297,6,знаю,ЗНАТЬ,V ipf praes sg indic - 1p,,V ipf praes sg indic - 1p,3,сочин,_,_,,,V,ЗНАТЬ,V ipf praes sg indic - 1p
46298,7,",",",",",",,PUNC,6,PUNC,_,_,,,",",",",","
46299,8,читает,ЧИТАТЬ,V ipf praes sg indic m 3p,,V ipf praes sg indic - 3p,1,вводн,_,_,,,V,ЧИТАТЬ,V ipf praes sg indic - 3p
46300,9,",",",",",",,PUNC,8,PUNC,_,_,,,",",",",","
46301,10,короче,КОРОЧЕ,PARENTH,,ADV comp,12,вводн,_,_,,,ADV,КОРОЧЕ,ADV comp
46302,11,",",",",",",,PUNC,10,PUNC,_,_,,,",",",",","
46303,12,сказки,СКАЗКА,S f inan acc pl,,S f inan gen sg,8,предик,_,_,,,S,СКАЗКА,S f inan gen sg
46304,13,.,.,SENT,,SENT,12,PUNC,_,_,,,SENT,.,SENT
46305,,,,,,,,,,,,,,,
46306,1,И,И,CONJ,,CONJ,0,ROOT,_,_,,,CONJ,И,CONJ
46307,2,он,ОН,SPRO sg 3p m nom,,SPRO sg 3p m nom,4,предик,_,_,,,SPRO,ОН,SPRO sg 3p m nom
46308,3,очень,ОЧЕНЬ,ADV -,,ADV -,4,огранич,_,_,,,ADV,ОЧЕНЬ,ADV -
46309,4,растроился,РАСТРОИТЬСЯ,V pf praet sg indic m 3p,,V pf praet sg indic m -,1,соч-союзн,_,_,,,V,РАСТРОИТЬСЯ,V pf praet sg indic m -
46310,5,",",",",",",,PUNC,4,PUNC,_,_,,,",",",",","
46311,6,потому что,потому что,CONJ,,ZERO,4,обст,_,_,,,CONJ,потому что,CONJ
46312,7,время,ВРЕМЯ,S n inan nom sg,,S n inan acc sg,9,предик,_,_,,,S,ВРЕМЯ,S n inan acc sg
46313,8,почти,ПОЧТИ,ADV -,,ADV -,9,огранич,_,_,,,ADV,ПОЧТИ,ADV -
46314,9,вышло,ВЫЙТИ,V pf praet sg indic n 3p,,V pf praet sg indic n -,6,подч-союзн,_,_,,,V,ВЫЙТИ,V pf praet sg indic n -
46315,10,",",",",",",,PUNC,9,PUNC,_,_,,,",",",",","
46316,11,а,А,CONJ,,CONJ,9,сент-соч,_,_,,,CONJ,А,CONJ
46317,12,она,ОНА,SPRO sg 3p f nom,,SPRO sg 3p f nom,15,предик,_,_,,,SPRO,ОНА,SPRO sg 3p f nom
46318,13,ещё,ЕЩЕ,ADV -,,ADV -,15,обст,_,_,,,ADV,ЕЩЕ,ADV -
46319,14,не,НЕ,PART,,PART,15,огранич,_,_,,,PART,НЕ,PART
46320,15,ожила,ОЖИТЬ,V pf praet sg indic f 3p,,V pf praet sg indic f -,11,соч-союзн,_,_,,,V,ОЖИТЬ,V pf praet sg indic f -
46321,16,.,.,SENT,,SENT,15,PUNC,_,_,,,SENT,.,SENT
46322,,,,,,,,,,,,,,,
46323,1,Походу,ПОХОДУ,PARENTH,,S m inan dat sg,6,2-компл,_,_,,,S,ПОХОД,S m inan dat sg
46324,2,",",",",",",,PUNC,1,PUNC,_,_,,,",",",",","
46325,3,у,У,PR,,PR,6,обст,_,_,,,PR,У,PR
46326,4,него,ОН,SPRO sg 3p m gen,,SPRO sg 3p m acc,3,предл,_,_,,,SPRO,ОН,SPRO sg 3p m acc
46327,5,время,ВРЕМЯ,S n inan nom sg,,S n inan acc sg,6,длительн,_,_,,,S,ВРЕМЯ,S n inan acc sg
46328,6,ограничено,ОГРАНИЧИТЬ,PARTCP pf praet - sg brev n pass 3p,,PARTCP pf praet - sg brev n pass -,0,ROOT,_,_,,,PARTCP,ОГРАНИЧИТЬ,PARTCP pf praet - sg brev n pass -
46329,7,.,.,SENT,,SENT,6,PUNC,_,_,,,SENT,.,SENT
46330,,,,,,,,,,,,,,,
46331,1,Но,НО,CONJ,,CONJ,0,ROOT,_,_,,,CONJ,НО,CONJ
46332,2,",",",",",",,PUNC,1,PUNC,_,_,,,",",",",","
46333,3,он,ОН,SPRO sg 3p m nom,,SPRO sg 3p m nom,7,предик,_,_,,,SPRO,ОН,SPRO sg 3p m nom
46334,4,",",",",",",,PUNC,3,PUNC,_,_,,,",",",",","
46335,5,короче,КОРОЧЕ,PARENTH,,ADV comp,7,вводн,_,_,,,ADV,КОРОЧЕ,ADV comp
46336,6,",",",",",",,PUNC,5,PUNC,_,_,,,",",",",","
46337,7,пытается,ПЫТАТЬСЯ,V ipf praes sg indic m 3p,,V ipf praes sg indic - 3p,1,соч-союзн,_,_,,,V,ПЫТАТЬСЯ,V ipf praes sg indic - 3p
46338,8,с,С,PR,,PR,10,обст,_,_,,,PR,С,PR
46339,9,ней,ОНА,SPRO sg 3p f ins,,SPRO sg 3p f loc,8,предл,_,_,,,SPRO,ОНА,SPRO sg 3p f loc
46340,10,обращаться,ОБРАЩАТЬСЯ,V ipf - - inf - -,,V ipf - - inf - -,7,1-компл,_,_,,,V,ОБРАЩАТЬСЯ,V ipf - - inf - -
46341,11,как,КАК,CONJ,,CONJ,10,сравнит,_,_,,,CONJ,КАК,CONJ
46342,12,с,С,PR,,PR,11,сравн-союзн,_,_,,,PR,С,PR
46343,13,живым,ЖИВОЙ,A - ins sg plen - 3p,,A - dat pl plen - -,12,предл,_,_,,,A,ЖИВОЙ,A - dat pl plen - -
46344,14,",",",",",",,PUNC,13,PUNC,_,_,,,",",",",","
46345,15,не,НЕ,PART,,PART,16,огранич,_,_,,,PART,НЕ,PART
46346,16,знаю,ЗНАТЬ,V ipf praes sg indic - 1p,,V ipf praes sg indic - 1p,7,сочин,_,_,,,V,ЗНАТЬ,V ipf praes sg indic - 1p
46347,17,...,...,SENT,,SENT,16,PUNC,_,_,,,SENT,...,SENT
46348,,,,,,,,,,,,,,,
46349,1,О,О,INTJ,,INTJ,0,ROOT,_,_,,,INTJ,О,INTJ
46350,2,",",",",",",,PUNC,1,PUNC,_,_,,,",",",",","
46351,3,там,ТАМ,ADV -,,ADV -,0,ROOT,_,_,,,ADV,ТАМ,ADV -
46352,4,на,НА,PR,,PR,0,ROOT,_,_,,,PR,НА,PR
46353,5,эльфийском,ЭЛЬФИЙСКИЙ,A - loc sg plen m 3p,,A - loc sg plen m -,7,2-компл,_,_,,,A,ЭЛЬФИЙСКИЙ,A - loc sg plen m -
46354,6,было,БЫТЬ,V ipf praet sg indic n 3p,,V ipf praet sg indic n -,4,предл,_,_,,,V,БЫТЬ,V ipf praet sg indic n -
46355,7,написано,НАПИСАТЬ,PARTCP pf praet - sg brev n pass 3p,,PARTCP pf praet - sg brev n pass -,6,пасс-анал,_,_,,,PARTCP,НАПИСАТЬ,PARTCP pf praet - sg brev n pass -
46356,8,	,_,PUNC,,9,PUNC,_,_,,,,_,_,PUNC
46357,9,Шопен,ШОПЕН,S m anim nom sg,,S m anim nom sg,6,предик,_,_,,,S,ШОПЕН,S m anim nom sg
46358,10,	,_,PUNC,,9,PUNC,_,_,,,,_,_,PUNC
46359,11,;,;,SENT,,SENT,9,PUNC,_,_,,,SENT,;,SENT
46360,,,,,,,,,,,,,,,
46361,1,и,И,CONJ,,CONJ,2,соотнос,_,_,,,CONJ,И,CONJ
46362,2,скрипка,СКРИПКА,S f inan nom sg,,S f inan nom sg,0,ROOT,_,_,,,S,СКРИПКА,S f inan nom sg
46363,3,на,НА,PR,,PR,2,атриб,_,_,,,PR,НА,PR
46364,4,двери,ДВЕРЬ,S f inan loc sg,,S f inan dat sg,3,предл,_,_,,,S,ДВЕРЬ,S f inan dat sg
46365,5,;,;,SENT,,SENT,4,PUNC,_,_,,,SENT,;,SENT
46366,,,,,,,,,,,,,,,
46367,1,и,И,CONJ,,CONJ,0,ROOT,_,_,,,CONJ,И,CONJ
46368,2,он,ОН,SPRO sg 3p m nom,,SPRO sg 3p m nom,3,предик,_,_,,,SPRO,ОН,SPRO sg 3p m nom
46369,3,начал,НАЧАТЬ,V pf praet sg indic m 3p,,S n inan gen pl,1,соч-союзн,_,_,,,S,НАЧАЛО,S n inan gen pl
46370,4,играть,ИГРАТЬ,V ipf - - inf - -,,V ipf - - inf - -,3,1-компл,_,_,,,V,ИГРАТЬ,V ipf - - inf - -
46371,5,.,.,SENT,,SENT,4,PUNC,_,_,,,SENT,.,SENT
46372,,,,,,,,,,,,,,,
46373,1,Короче,КОРОЧЕ,PARENTH,,ADV comp,5,вводн,_,_,,,ADV,КОРОЧЕ,ADV comp
46374,2,",",",",",",,PUNC,1,PUNC,_,_,,,",",",",","
46375,3,я,Я,SPRO sg 1p - nom,,SPRO sg 1p - nom,5,предик,_,_,,,SPRO,Я,SPRO sg 1p - nom
46376,4,так,ТАК,ADV -,,ADV -,5,обст,_,_,,,ADV,ТАК,ADV -
46377,5,понял,ПОНЯТЬ,V pf praet sg indic m 1p,,V pf praet sg indic m -,0,ROOT,_,_,,,V,ПОНЯТЬ,V pf praet sg indic m -
46378,6,",",",",",",,PUNC,5,PUNC,_,_,,,",",",",","
46379,7,он,ОН,SPRO sg 3p m nom,,SPRO sg 3p m nom,8,предик,_,_,,,SPRO,ОН,SPRO sg 3p m nom
46380,8,хочет,ХОТЕТЬ,V ipf praes sg indic m 3p,,V ipf praes sg indic - 3p,5,изъясн,_,_,,,V,ХОТЕТЬ,V ipf praes sg indic - 3p
46381,9,её,ОНА,SPRO sg 3p f acc,,SPRO sg 3p f acc,10,1-компл,_,_,,,SPRO,ОНА,SPRO sg 3p f acc
46382,10,оживить,ОЖИВИТЬ,V pf - - inf - -,,V pf - - inf - -,8,1-компл,_,_,,,V,ОЖИВИТЬ,V pf - - inf - -
46383,11,",",",",",",,PUNC,10,PUNC,_,_,,,",",",",","
46384,12,свою,СВОЙ,A - acc sg plen f 3p,,A - acc sg plen f -,13,опред,_,_,,,A,СВОЙ,A - acc sg plen f -
46385,13,куклу,КУКЛА,S f inan acc sg,,S f inan acc sg,5,1-компл,_,_,,,S,КУКЛА,S f inan acc sg
46386,14,.,.,SENT,,SENT,13,PUNC,_,_,,,SENT,.,SENT
46387,,,,,,,,,,,,,,,
46388,1,SViBLASH,SVIBLASH,NONLEX,,NONLEX,7,предик,_,_,,,NONLEX,SVIBLASH,NONLEX
46389,2,@,@,@,,PUNC,7,1-компл,_,_,,,@,@,@
46390,3,Ну,НУ,PART,,PART,7,огранич,_,_,,,PART,НУ,PART
46391,4,пока,ПОКА,ADV -,,ADV -,7,обст,_,_,,,ADV,ПОКА,ADV -
46392,5,что,ЧТО,ADV -,Слитно,CONJ,4,вспом,_,_,,,CONJ,ЧТО,CONJ
46393,6,он,ОН,SPRO sg 3p m nom,,SPRO sg 3p m nom,7,предик,_,_,,,SPRO,ОН,SPRO sg 3p m nom
46394,7,играет,ИГРАТЬ,V ipf praes sg indic m 3p,,V ipf praes sg indic - 3p,0,ROOT,_,_,,,V,ИГРАТЬ,V ipf praes sg indic - 3p
46395,8,",",",",",",,PUNC,7,PUNC,_,_,,,",",",",","
46396,9,а,А,CONJ,,CONJ,7,сент-соч,_,_,,,CONJ,А,CONJ
46397,10,она,ОНА,SPRO sg 3p f nom,,SPRO sg 3p f nom,11,предик,_,_,,,SPRO,ОНА,SPRO sg 3p f nom
46398,11,лежит,ЛЕЖАТЬ,V ipf praes sg indic f 3p,,V ipf praes sg indic - 3p,9,соч-союзн,_,_,,,V,ЛЕЖАТЬ,V ipf praes sg indic - 3p
46399,12,с,С,PR,,PR,11,1-компл,_,_,,,PR,С,PR
46400,13,закрытыми,ЗАКРЫТЫЙ,A - ins pl plen f 3p,,A - ins pl plen - -,14,опред,_,_,,,A,ЗАКРЫТЫЙ,A - ins pl plen - -
46401,14,глазами,ГЛАЗ,S m inan ins pl,,S m inan ins pl,12,предл,_,_,,,S,ГЛАЗ,S m inan ins pl
46402,15,.,.,SENT,,SENT,14,PUNC,_,_,,,SENT,.,SENT
46403,,,,,,,,,,,,,,,
46404,1,Студентка,СТУДЕНТКА,NONLEX,,S f anim nom sg,5,предик,_,_,,,S,СТУДЕНТКА,S f anim nom sg
46405,2,@,@,@,,PUNC,5,1-компл,_,_,,,@,@,@
46406,3,Почему,ПОЧЕМУ,ADVPRO -,,ADV -,5,обст,_,_,,,ADV,ПОЧЕМУ,ADV -
46407,4,ты,ТЫ,SPRO sg 2p m nom,,SPRO sg 2p - nom,5,предик,_,_,,,SPRO,ТЫ,SPRO sg 2p - nom
46408,5,решил,РЕШИТЬ,V pf praet sg indic m 2p,,V pf praet sg indic m -,0,ROOT,_,_,,,V,РЕШИТЬ,V pf praet sg indic m -
46409,6,",",",",",",,PUNC,5,PUNC,_,_,,,",",",",","
46410,7,что,ЧТО,CONJ,,CONJ,5,1-компл,_,_,,,CONJ,ЧТО,CONJ
46411,8,это,ЭТО,S n - nom sg,,S n - nom sg,9,опред,_,_,,,S,ЭТО,S n - nom sg
46412,9,она,ОНА,SPRO sg 3p f nom,,SPRO sg 3p f nom,7,подч-союзн,_,_,,,SPRO,ОНА,SPRO sg 3p f nom
46413,10,?,?,SENT,,SENT,9,PUNC,_,_,,,SENT,?,SENT
46414,,,,,,,,,,,,,,,
46415,1,SViBLASH,SVIBLASH,NONLEX,,NONLEX,4,предик,_,_,,,NONLEX,SVIBLASH,NONLEX
46416,2,@,@,@,,PUNC,4,опред,_,_,,,@,@,@
46417,3,Ну,НУ,PART,,PART,4,вводн,_,_,,,PART,НУ,PART
46418,4,потому что,потому что,CONJ,,ZERO,0,ROOT,_,_,,,CONJ,потому что,CONJ
46419,5,...,...,SENT,,SENT,4,PUNC,_,_,,,SENT,...,SENT
46420,,,,,,,,,,,,,,,
46421,1,Ну,НУ,PART,,PART,0,ROOT,_,_,,,PART,НУ,PART
46422,2,",",",",",",,PUNC,1,PUNC,_,_,,,",",",",","
46423,3,может,МОЖЕТ,PARENTH,,ADV -,0,ROOT,_,_,,,ADV,МОЖЕТ,ADV -
46424,4,это,ЭТО,S n - acc sg,,S n - acc sg,0,ROOT,_,_,,,S,ЭТО,S n - acc sg
46425,5,и,И,CONJ,,CONJ,8,соотнос,_,_,,,CONJ,И,CONJ
46426,6,он,ОН,SPRO sg 3p m nom,,SPRO sg 3p m nom,0,ROOT,_,_,,,SPRO,ОН,SPRO sg 3p m nom
46427,7,",",",",",",,PUNC,6,PUNC,_,_,,,",",",",","
46428,8,но,НО,CONJ,,CONJ,6,сочин,_,_,,,CONJ,НО,CONJ
46429,9,это,ЭТО,S n - nom sg,,S n - nom sg,10,предик,_,_,,,S,ЭТО,S n - nom sg
46430,10,было,БЫТЬ,V ipf praet sg indic n -,,V ipf praet sg indic n -,8,соч-союзн,_,_,,,V,БЫТЬ,V ipf praet sg indic n -
46431,11,бы,БЫ,PART,,PART,10,аналит,_,_,,,PART,БЫ,PART
46432,12,странно,СТРАННО,ADV -,,ADV -,10,присвяз,_,_,,,ADV,СТРАННО,ADV -
46433,13,",",",",",",,PUNC,12,PUNC,_,_,,,",",",",","
46434,14,если,ЕСЛИ,CONJ,,CONJ,0,ROOT,_,_,,,CONJ,ЕСЛИ,CONJ
46435,15,бы,БЫ,PART,,PART,17,аналит,_,_,,,PART,БЫ,PART
46436,16,он,ОН,SPRO sg 3p m nom,,SPRO sg 3p m nom,17,предик,_,_,,,SPRO,ОН,SPRO sg 3p m nom
46437,17,создавал,СОЗДАВАТЬ,V ipf praet sg indic m 3p,,V ipf praet sg indic m -,14,подч-союзн,_,_,,,V,СОЗДАВАТЬ,V ipf praet sg indic m -
46438,18,мужскую,МУЖСКОЙ,A - acc sg plen f 3p,,A - acc sg plen f -,19,опред,_,_,,,A,МУЖСКОЙ,A - acc sg plen f -
46439,19,куклу,КУКЛА,S f inan acc sg,,S f inan acc sg,17,1-компл,_,_,,,S,КУКЛА,S f inan acc sg
46440,20,самого,САМ,A - gen sg plen m 3p,,A - gen sg plen m -,21,опред,_,_,,,A,САМ,A - gen sg plen m -
46441,21,себя,СЕБЯ,SPRO sg 3p m gen,,SPRO - - - acc,19,1-компл,_,_,,,SPRO,СЕБЯ,SPRO - - - acc
46442,22,розового,РОЗОВЫЙ,A - gen sg plen m 3p,,A - gen sg plen m -,23,опред,_,_,,,A,РОЗОВЫЙ,A - gen sg plen m -
46443,23,цвета,ЦВЕТ,S m inan gen sg,,S m inan gen sg,19,атриб,_,_,,,S,ЦВЕТ,S m inan gen sg
46444,24,.,.,SENT,,SENT,23,PUNC,_,_,,,SENT,.,SENT
46445,,,,,,,,,,,,,,,
46446,1,SViBLASH,SVIBLASH,NONLEX,,NONLEX,3,предик,_,_,,,NONLEX,SVIBLASH,NONLEX
46447,2,@,@,@,,PUNC,3,опред,_,_,,,@,@,@
46448,3,О,О,INTJ,,S - - nonflex nonflex,0,ROOT,_,_,,,S,О,S - - nonflex nonflex
46449,4,",",",",",",,PUNC,3,PUNC,_,_,,,",",",",","
46450,5,короче,КОРОЧЕ,PARENTH,,ADV comp,8,вводн,_,_,,,ADV,КОРОЧЕ,ADV comp
46451,6,",",",",",",,PUNC,5,PUNC,_,_,,,",",",",","
46452,7,она,ОНА,SPRO sg 3p f nom,,SPRO sg 3p f nom,8,предик,_,_,,,SPRO,ОНА,SPRO sg 3p f nom
46453,8,встала,ВСТАТЬ,V pf praet sg indic f 3p,,V pf praet sg indic f -,3,сочин,_,_,,,V,ВСТАТЬ,V pf praet sg indic f -
46454,9,и,И,CONJ,,CONJ,8,сочин,_,_,,,CONJ,И,CONJ
46455,10,открыла,ОТКРЫТЬ,V pf praet sg indic f 3p,,V pf praet sg indic f -,9,соч-союзн,_,_,,,V,ОТКРЫТЬ,V pf praet sg indic f -
46456,11,глаза,ГЛАЗ,S m inan acc pl,,S m inan acc pl,10,1-компл,_,_,,,S,ГЛАЗ,S m inan acc pl
46457,12,.,.,SENT,,SENT,11,PUNC,_,_,,,SENT,.,SENT
46458,,,,,,,,,,,,,,,
46459,1,Голубые,ГОЛУБОЙ,A - nom pl plen - 3p,,A - nom pl plen - -,0,ROOT,_,_,,,A,ГОЛУБОЙ,A - nom pl plen - -
46460,2,",",",",",",,PUNC,1,PUNC,_,_,,,",",",",","
46461,3,а,А,CONJ,,CONJ,1,сент-соч,_,_,,,CONJ,А,CONJ
46462,4,у,У,PR,,PR,6,1-компл,_,_,,,PR,У,PR
46463,5,него,ОН,SPRO sg 3p m gen,,SPRO sg 3p m acc,4,предл,_,_,,,SPRO,ОН,SPRO sg 3p m acc
46464,6,были,БЫТЬ,V ipf praet pl indic - 3p,,V ipf praet pl indic - -,3,соч-союзн,_,_,,,V,БЫТЬ,V ipf praet pl indic - -
46465,7,карие,КАРИЙ,A - nom pl plen - 3p,,A - nom pl plen - -,6,предик,_,_,,,A,КАРИЙ,A - nom pl plen - -
46466,8,.,.,SENT,,SENT,7,PUNC,_,_,,,SENT,.,SENT
46467,,,,,,,,,,,,,,,
46468,1,SViBLASH,SVIBLASH,NONLEX,,NONLEX,21,предик,_,_,,,NONLEX,SVIBLASH,NONLEX
46469,2,@,@,@,,PUNC,21,обст,_,_,,,@,@,@
46470,3,Прикольно,ПРИКОЛЬНО,ADV -,,ADV -,2,обст,_,_,,,ADV,ПРИКОЛЬНО,ADV -
46471,4,",",",",",",,PUNC,3,PUNC,_,_,,,",",",",","
46472,5,если,ЕСЛИ,CONJ,,CONJ,2,обст,_,_,,,CONJ,ЕСЛИ,CONJ
46473,6,б,Б,PART,,PART,8,аналит,_,_,,,PART,Б,PART
46474,7,я,Я,SPRO sg 1p - nom,,SPRO sg 1p - nom,8,предик,_,_,,,SPRO,Я,SPRO sg 1p - nom
46475,8,мог,МОЧЬ,V ipf praet sg indic m 1p,,V ipf praet sg indic m -,5,подч-союзн,_,_,,,V,МОЧЬ,V ipf praet sg indic m -
46476,9,оживлять,ОЖИВЛЯТЬ,V ipf - - inf - -,,V ipf - - inf - -,8,1-компл,_,_,,,V,ОЖИВЛЯТЬ,V ipf - - inf - -
46477,10,себе,СЕБЯ,SPRO sg 1p - dat,,SPRO - - - loc,9,1-компл,_,_,,,SPRO,СЕБЯ,SPRO - - - loc
46478,11,подобных,ПОДОБНЫЙ,A - gen pl plen - 3p,,A - gen pl plen - -,12,опред,_,_,,,A,ПОДОБНЫЙ,A - gen pl plen - -
46479,12,игрой,ИГРА,S f inan ins sg,,S f inan ins sg,9,2-компл,_,_,,,S,ИГРА,S f inan ins sg
46480,13,на,НА,PR,,PR,12,атриб,_,_,,,PR,НА,PR
46481,14,скрипке,СКРИПКА,S f inan loc sg,,S f inan loc sg,13,предл,_,_,,,S,СКРИПКА,S f inan loc sg
46482,15,",",",",",",,PUNC,14,PUNC,_,_,,,",",",",","
46483,16,я,Я,SPRO sg 1p - nom,,SPRO sg 1p - nom,21,предик,_,_,,,SPRO,Я,SPRO sg 1p - nom
46484,17,бы,БЫ,PART,,PART,21,аналит,_,_,,,PART,БЫ,PART
46485,18,",",",",",",,PUNC,17,PUNC,_,_,,,",",",",","
46486,19,наверно,НАВЕРНО,ADV -,,ADV -,21,вводн,_,_,,,ADV,НАВЕРНО,ADV -
46487,20,",",",",",",,PUNC,19,PUNC,_,_,,,",",",",","
46488,21,научился,НАУЧИТЬСЯ,V pf praet sg indic m 1p,,V pf praet sg indic m -,0,ROOT,_,_,,,V,НАУЧИТЬСЯ,V pf praet sg indic m -
46489,22,играть,ИГРАТЬ,V ipf - - inf - -,,V ipf - - inf - -,21,1-компл,_,_,,,V,ИГРАТЬ,V ipf - - inf - -
46490,23,на,НА,PR,,PR,22,обст,_,_,,,PR,НА,PR
46491,24,скрипке,СКРИПКА,S f inan loc sg,,S f inan loc sg,23,предл,_,_,,,S,СКРИПКА,S f inan loc sg
46492,25,",",",",",",,PUNC,24,PUNC,_,_,,,",",",",","
46493,26,а,А,CONJ,,CONJ,21,сочин,_,_,,,CONJ,А,CONJ
