,#,FORM,LEMMA,GRAM,COMMENT,CHECKED,RIGHT1,RIGHT2,RIGHT3,RIGHT4,RIGHT5,RIGHT6,POS,AUTO_LEMMA,AUTO_GRAM
46494,27,не,НЕ,PART,,PART,28,огранич,_,_,,,PART,НЕ,PART
46495,28,на,НА,PR,,PR,26,соч-союзн,_,_,,,PR,НА,PR
46496,29,флейте,ФЛЕЙТА,S f inan loc sg,,S f inan loc sg,28,предл,_,_,,,S,ФЛЕЙТА,S f inan loc sg
46497,30,.,.,SENT,,SENT,29,PUNC,_,_,,,SENT,.,SENT
46498,,,,,,,,,,,,,,,
46499,1,Короче,КОРОЧЕ,PARENTH,,ADV comp,5,вводн,_,_,,,ADV,КОРОЧЕ,ADV comp
46500,2,",",",",",",,PUNC,1,PUNC,_,_,,,",",",",","
46501,3,их,ИХ,APRO - nom pl plen - 3p,,A - nonflex nonflex plen - -,4,квазиагент,_,_,,,A,ИХ,A - nonflex nonflex plen - -
46502,4,взгляды,ВЗГЛЯД,S m inan nom pl,,S m inan acc pl,5,1-компл,_,_,,,S,ВЗГЛЯД,S m inan acc pl
46503,5,встретились,ВСТРЕТИТЬСЯ,V pf praet pl indic m 3p,,V pf praet pl indic - -,0,ROOT,_,_,,,V,ВСТРЕТИТЬСЯ,V pf praet pl indic - -
46504,6,:,:,:,,PUNC,7,опред,_,_,,,:,:,:
46505,7,лапки,ЛАПКА,S f inan nom pl,,S f inan nom pl,5,предик,_,_,,,S,ЛАПКА,S f inan nom pl
46506,8,",",",",",",,PUNC,7,PUNC,_,_,,,",",",",","
46507,9,моргания,МОРГАНИЕ,S n inan nom pl,,S n inan acc pl,7,сочин,_,_,,,S,МОРГАНИЕ,S n inan acc pl
46508,10,",",",",",",,PUNC,9,PUNC,_,_,,,",",",",","
46509,11,ээ...,ЭЭ...,INTJ,,NONLEX,9,сочин,_,_,,,NONLEX,ЭЭ...,NONLEX
46510,12,объятья,ОБЪЯТЬЕ,S n inan nom sg,,S n inan gen sg,11,сочин,_,_,,,S,ОБЪЯТЬЕ,S n inan gen sg
46511,13,.,.,SENT,,SENT,12,PUNC,_,_,,,SENT,.,SENT
46512,,,,,,,,,,,,,,,
46513,1,Понятно,ПОНЯТНО,PRAEDIC,,ADV -,0,ROOT,_,_,,,ADV,ПОНЯТНО,ADV -
46514,2,.,.,SENT,,SENT,1,PUNC,_,_,,,SENT,.,SENT
46515,,,,,,,,,,,,,,,
46516,1,SViBLASH,SVIBLASH,NONLEX,,NONLEX,6,предик,_,_,,,NONLEX,SVIBLASH,NONLEX
46517,2,@,@,@,,PUNC,6,1-компл,_,_,,,@,@,@
46518,3,Ну,НУ,PART,,PART,2,огранич,_,_,,,PART,НУ,PART
46519,4,",",",",",",,PUNC,3,PUNC,_,_,,,",",",",","
46520,5,они,ОНИ,SPRO pl - anim nom,,SPRO pl - - nom,6,предик,_,_,,,SPRO,ОНИ,SPRO pl - - nom
46521,6,обнялись,ОБНЯТЬСЯ,V pf praet pl indic - 3p,,V pf praet pl indic - -,0,ROOT,_,_,,,V,ОБНЯТЬСЯ,V pf praet pl indic - -
46522,7,;,;,SENT,,SENT,6,PUNC,_,_,,,SENT,;,SENT
46523,,,,,,,,,,,,,,,
46524,1,ээ...,ЭЭ...,INTJ,,NONLEX,6,предик,_,_,,,NONLEX,ЭЭ...,NONLEX
46525,2,песочные,ПЕСОЧНЫЙ,A - nom pl plen 3p inan,,A - acc pl plen - inan,3,опред,_,_,,,A,ПЕСОЧНЫЙ,A - acc pl plen - inan
46526,3,часы,ЧАСЫ,S m inan nom pl,,S m inan acc pl,6,1-компл,_,_,,,S,ЧАСЫ,S m inan acc pl
46527,4,уже,УЖЕ,ADV -,,ADV -,5,огранич,_,_,,,ADV,УЖЕ,ADV -
46528,5,почти,ПОЧТИ,ADV -,,ADV -,6,огранич,_,_,,,ADV,ПОЧТИ,ADV -
46529,6,дотикали,ДОТИКАТЬ,V pf praet pl indic - 3p,,V pf praet pl indic - -,0,ROOT,_,_,,,V,ДОТИКАТЬ,V pf praet pl indic - -
46530,7,-,-,-,,PUNC,6,PUNC,_,_,,,-,-,-
46531,8,странно,СТРАННО,ADV -,,ADV -,14,вводн,_,_,,,ADV,СТРАННО,ADV -
46532,9,",",",",",",,PUNC,8,PUNC,_,_,,,",",",",","
46533,10,песочные,ПЕСОЧНЫЙ,A - nom pl plen 3p inan,,A - acc pl plen - inan,11,опред,_,_,,,A,ПЕСОЧНЫЙ,A - acc pl plen - inan
46534,11,часы,ЧАСЫ,S m inan nom pl,,S m inan acc pl,14,1-компл,_,_,,,S,ЧАСЫ,S m inan acc pl
46535,12,же,ЖЕ,PART,,PART,11,огранич,_,_,,,PART,ЖЕ,PART
46536,13,не,НЕ,PART,,PART,14,огранич,_,_,,,PART,НЕ,PART
46537,14,тикают,ТИКАТЬ,V ipf praes pl indic - 3p,,V ipf praes pl indic - 3p,6,сент-соч,_,_,,,V,ТИКАТЬ,V ipf praes pl indic - 3p
46538,15,",",",",",",,PUNC,14,PUNC,_,_,,,",",",",","
46539,16,ну,НУ,PART,,PART,17,огранич,_,_,,,PART,НУ,PART
46540,17,ладно,ЛАДНО,PARENTH,,PART,14,разъяснит,_,_,,,PART,ЛАДНО,PART
46541,18,.,.,SENT,,SENT,17,PUNC,_,_,,,SENT,.,SENT
46542,,,,,,,,,,,,,,,
46543,1,Он,ОН,SPRO sg 3p m nom,,SPRO sg 3p m nom,5,предик,_,_,,,SPRO,ОН,SPRO sg 3p m nom
46544,2,",",",",",",,PUNC,1,PUNC,_,_,,,",",",",","
46545,3,короче,КОРОЧЕ,PARENTH,,ADV comp,5,вводн,_,_,,,ADV,КОРОЧЕ,ADV comp
46546,4,",",",",",",,PUNC,3,PUNC,_,_,,,",",",",","
46547,5,отдал,ОТДАТЬ,V pf praet sg indic m 3p,,V pf praet sg indic m -,0,ROOT,_,_,,,V,ОТДАТЬ,V pf praet sg indic m -
46548,6,ей,ОНА,SPRO sg 3p f dat,,SPRO sg 3p f dat,5,2-компл,_,_,,,SPRO,ОНА,SPRO sg 3p f dat
46549,7,книгу,КНИГА,S f inan acc sg,,S f inan acc sg,5,1-компл,_,_,,,S,КНИГА,S f inan acc sg
46550,8,и,И,CONJ,,CONJ,5,сочин,_,_,,,CONJ,И,CONJ
46551,9,испарился,ИСПАРИТЬСЯ,V pf praet sg indic m 3p,,V pf praet sg indic m -,8,соч-союзн,_,_,,,V,ИСПАРИТЬСЯ,V pf praet sg indic m -
46552,10,...,...,SENT,,SENT,9,PUNC,_,_,,,SENT,...,SENT
46553,,,,,,,,,,,,,,,
46554,1,Студентка,СТУДЕНТКА,S f anim nom sg,,S f anim nom sg,3,предик,_,_,,,S,СТУДЕНТКА,S f anim nom sg
46555,2,@,@,@,,PUNC,3,1-компл,_,_,,,@,@,@
46556,3,Испарился,ИСПАРИТЬСЯ,V pf praet sg indic m 3p,,V pf praet sg indic m -,0,ROOT,_,_,,,V,ИСПАРИТЬСЯ,V pf praet sg indic m -
46557,4,?,?,SENT,,SENT,3,PUNC,_,_,,,SENT,?,SENT
46558,,,,,,,,,,,,,,,
46559,1,SViBLASH,SVIBLASH,NONLEX,,NONLEX,0,ROOT,_,_,,,NONLEX,SVIBLASH,NONLEX
46560,2,@...,@...,@,,PUNC,3,опред,_,_,,,@,@...,@
46561,3,книгу,КНИГА,S f inan acc sg,,S f inan acc sg,1,1-компл,_,_,,,S,КНИГА,S f inan acc sg
46562,4,с,С,PR,,PR,1,атриб,_,_,,,PR,С,PR
46563,5,нотами,НОТА,S f inan ins pl,,S f inan ins pl,4,предл,_,_,,,S,НОТА,S f inan ins pl
46564,6,.,.,SENT,,SENT,5,PUNC,_,_,,,SENT,.,SENT
46565,,,,,,,,,,,,,,,
46566,1,И,И,CONJ,,CONJ,0,ROOT,_,_,,,CONJ,И,CONJ
46567,2,всё,ВСЕ,SPRO sg 3p n nom,,S n - nom sg,3,предик,_,_,,,S,ВСЕ,S n - nom sg
46568,3,встало,ВСТАТЬ,V pf praet sg indic n 3p,,V pf praet sg indic n -,1,соч-союзн,_,_,,,V,ВСТАТЬ,V pf praet sg indic n -
46569,4,на,НА,PR,,PR,3,1-компл,_,_,,,PR,НА,PR
46570,5,свои,СВОЙ,A - acc pl plen 3p inan,,A - acc pl plen - inan,6,опред,_,_,,,A,СВОЙ,A - acc pl plen - inan
46571,6,места,МЕСТО,S n inan acc pl,,S n inan acc pl,4,предл,_,_,,,S,МЕСТО,S n inan acc pl
46572,7,.,.,SENT,,SENT,6,PUNC,_,_,,,SENT,.,SENT
46573,,,,,,,,,,,,,,,
46574,1,То есть,То есть,PARENTH,,-,3,вводн,_,_,,,ADV,То есть,ADV -
46575,2,",",",",",",,PUNC,1,PUNC,_,_,,,",",",",","
46576,3,то,ТО,CONJ,,NONLEX,0,ROOT,_,_,,,NONLEX,ТО,NONLEX
46577,4,",",",",",",,PUNC,3,PUNC,_,_,,,",",",",","
46578,5,что,ЧТО,CONJ,,CONJ,3,эксплет,_,_,,,CONJ,ЧТО,CONJ
46579,6,он,ОН,SPRO sg 3p m nom,,SPRO sg 3p m nom,7,предик,_,_,,,SPRO,ОН,SPRO sg 3p m nom
46580,7,раскладывал,РАСКЛАДЫВАТЬ,V ipf praet sg indic m 3p,,V ipf praet sg indic m -,5,подч-союзн,_,_,,,V,РАСКЛАДЫВАТЬ,V ipf praet sg indic m -
46581,8,до,ДО,PR,,PR,7,2-компл,_,_,,,PR,ДО,PR
46582,9,этого,ЭТО,S n inan gen sg,,S n - gen sg,8,предл,_,_,,,S,ЭТО,S n - gen sg
46583,10,-,-,-,,PUNC,9,PUNC,_,_,,,-,-,-
46584,11,ингредиенты,ИНГРЕДИЕНТ,S m inan acc pl,,S m inan acc pl,7,1-компл,_,_,,,S,ИНГРЕДИЕНТ,S m inan acc pl
46585,12,",",",",",",,PUNC,11,PUNC,_,_,,,",",",",","
46586,13,там,ТАМ,PART,,ADV -,7,2-компл,_,_,,,ADV,ТАМ,ADV -
46587,14,",",",",",",,PUNC,13,PUNC,_,_,,,",",",",","
46588,15,всякую,ВСЯКИЙ,A - acc sg plen f 3p,,A - acc sg plen f -,16,опред,_,_,,,A,ВСЯКИЙ,A - acc sg plen f -
46589,16,фигню,ФИГНЯ,S f inan acc sg,,S f inan acc sg,19,1-компл,_,_,,,S,ФИГНЯ,S f inan acc sg
46590,17,-,-,-,,PUNC,16,PUNC,_,_,,,-,-,-
46591,18,всё,ВСЕ,SPRO sg 3p n nom,,ADV -,19,обст,_,_,,,ADV,ВСЕ,ADV -
46592,19,вернулось,ВЕРНУТЬСЯ,V pf praet sg indic n 3p,,V pf praet sg indic n -,13,релят,_,_,,,V,ВЕРНУТЬСЯ,V pf praet sg indic n -
46593,20,на,НА,PR,,PR,19,2-компл,_,_,,,PR,НА,PR
46594,21,свои,СВОЙ,A - acc pl plen 3p inan,,A - acc pl plen - inan,22,опред,_,_,,,A,СВОЙ,A - acc pl plen - inan
46595,22,места,МЕСТО,S n inan acc pl,,S n inan acc pl,20,предл,_,_,,,S,МЕСТО,S n inan acc pl
46596,23,.,.,SENT,,SENT,22,PUNC,_,_,,,SENT,.,SENT
46597,,,,,,,,,,,,,,,
46598,1,И,И,CONJ,,CONJ,0,ROOT,_,_,,,CONJ,И,CONJ
46599,2,песочные,ПЕСОЧНЫЙ,A - nom pl plen - 3p,,A - nom pl plen - -,3,опред,_,_,,,A,ПЕСОЧНЫЙ,A - nom pl plen - -
46600,3,часы,ЧАСЫ,S - inan nom pl,,S - inan nom pl,5,предик,_,_,,,S,ЧАСЫ,S - inan nom pl
46601,4,опять,ОПЯТЬ,ADV -,,ADV -,5,обст,_,_,,,ADV,ОПЯТЬ,ADV -
46602,5,перевернулись,ПЕРЕВЕРНУТЬСЯ,V pf praet pl indic - 3p,,V pf praet pl indic - -,1,соч-союзн,_,_,,,V,ПЕРЕВЕРНУТЬСЯ,V pf praet pl indic - -
46603,6,.,.,SENT,,SENT,5,PUNC,_,_,,,SENT,.,SENT
46604,,,,,,,,,,,,,,,
46605,1,И,И,CONJ,,CONJ,0,ROOT,_,_,,,CONJ,И,CONJ
46606,2,всё,ВСЕ,SPRO sg 3p n nom,,S n - nom sg,3,предик,_,_,,,S,ВСЕ,S n - nom sg
46607,3,началось,НАЧАТЬСЯ,V pf praet sg indic n 3p,,V pf praet sg indic n -,1,соч-союзн,_,_,,,V,НАЧАТЬСЯ,V pf praet sg indic n -
46608,4,с,С,PR,,PR,3,1-компл,_,_,,,PR,С,PR
46609,5,начала,НАЧАЛО,S n inan gen sg,,S n inan gen sg,4,предл,_,_,,,S,НАЧАЛО,S n inan gen sg
46610,6,",",",",",",,PUNC,5,PUNC,_,_,,,",",",",","
46611,7,только,ТОЛЬКО,PART,,PART,9,огранич,_,_,,,PART,ТОЛЬКО,PART
46612,8,она,ОНА,SPRO sg 3p f nom,,SPRO sg 3p f nom,9,предик,_,_,,,SPRO,ОНА,SPRO sg 3p f nom
46613,9,розовая,РОЗОВЫЙ,A - nom sg plen f 3p,,A - nom sg plen f -,3,сочин,_,_,,,A,РОЗОВЫЙ,A - nom sg plen f -
46614,10,",",",",",",,PUNC,9,PUNC,_,_,,,",",",",","
46615,11,а,А,CONJ,,CONJ,9,сочин,_,_,,,CONJ,А,CONJ
46616,12,в,В,PR,,PR,14,присвяз,_,_,,,PR,В,PR
46617,13,начале,НАЧАЛО,S n inan loc sg,,S n inan loc sg,12,предл,_,_,,,S,НАЧАЛО,S n inan loc sg
46618,14,был,БЫТЬ,V ipf praet sg indic m 3p,,V ipf praet sg indic m -,11,соч-союзн,_,_,,,V,БЫТЬ,V ipf praet sg indic m -
46619,15,коричневый,КОРИЧНЕВЫЙ,A - nom sg plen m 3p,,A - nom sg plen m -,14,предик,_,_,,,A,КОРИЧНЕВЫЙ,A - nom sg plen m -
46620,16,.,.,SENT,,SENT,15,PUNC,_,_,,,SENT,.,SENT
46621,,,,,,,,,,,,,,,
46622,1,Студентка,СТУДЕНТКА,NONLEX,,S f anim nom sg,4,предик,_,_,,,S,СТУДЕНТКА,S f anim nom sg
46623,2,@,@,@,,PUNC,4,1-компл,_,_,,,@,@,@
46624,3,Как,КАК,ADVPRO -,,ADV -,4,обст,_,_,,,ADV,КАК,ADV -
46625,4,думаешь,ДУМАТЬ,V ipf praes sg indic - 2p,,V ipf praes sg indic - 2p,0,ROOT,_,_,,,V,ДУМАТЬ,V ipf praes sg indic - 2p
46626,5,",",",",",",,PUNC,4,PUNC,_,_,,,",",",",","
46627,6,в,В,PR,,PR,4,1-компл,_,_,,,PR,В,PR
46628,7,чём,ЧТО,S n inan loc sg,,S n - loc sg,6,предл,_,_,,,S,ЧТО,S n - loc sg
46629,8,смысл,СМЫСЛ,S m inan acc sg,,S m inan acc sg,4,сочин,_,_,,,S,СМЫСЛ,S m inan acc sg
46630,9,короткометражки,КОРОТКОМЕТРАЖКА,S f inan gen sg,,S f inan acc pl,8,сочин,_,_,,,S,КОРОТКОМЕТРАЖКА,S f inan acc pl
46631,10,?,?,SENT,,SENT,9,PUNC,_,_,,,SENT,?,SENT
46632,,,,,,,,,,,,,,,
46633,1,SViBLASH,SVIBLASH,NONLEX,,NONLEX,3,предик,_,_,,,NONLEX,SVIBLASH,NONLEX
46634,2,@,@,@,,PUNC,3,опред,_,_,,,@,@,@
46635,3,Я,Я,SPRO sg 1p - nom,,SPRO sg 1p - nom,11,предик,_,_,,,SPRO,Я,SPRO sg 1p - nom
46636,4,",",",",",",,PUNC,3,PUNC,_,_,,,",",",",","
46637,5,если,ЕСЛИ,CONJ,,CONJ,11,обст,_,_,,,CONJ,ЕСЛИ,CONJ
46638,6,честно,ЧЕСТНО,PARENTH,,ADV -,9,вводн,_,_,,,ADV,ЧЕСТНО,ADV -
46639,7,",",",",",",,PUNC,6,PUNC,_,_,,,",",",",","
46640,8,точно,ТОЧНО,ADV -,,ADV -,9,огранич,_,_,,,ADV,ТОЧНО,ADV -
46641,9,так и,так и,CONJ,,ZERO,5,подч-союзн,_,_,,,CONJ,так и,CONJ
46642,10,не,НЕ,PART,,PART,11,огранич,_,_,,,PART,НЕ,PART
46643,11,понял,ПОНЯТЬ,V pf praet sg indic m 1p,,V pf praet sg indic m -,0,ROOT,_,_,,,V,ПОНЯТЬ,V pf praet sg indic m -
46644,12,.,.,SENT,,SENT,11,PUNC,_,_,,,SENT,.,SENT
46645,,,,,,,,,,,,,,,
46646,1,Это,ЭТО,S n inan nom sg,,S n - nom sg,3,1-компл,_,_,,,S,ЭТО,S n - nom sg
46647,2,",",",",",",,PUNC,1,PUNC,_,_,,,",",",",","
46648,3,знаете,ЗНАТЬ,V ipf praes pl indic - 2p,,V ipf praes pl indic - 2p,0,ROOT,_,_,,,V,ЗНАТЬ,V ipf praes pl indic - 2p
46649,4,",",",",",",,PUNC,3,PUNC,_,_,,,",",",",","
46650,5,фильм,ФИЛЬМ,S m inan nom sg,,S m inan nom sg,3,предик,_,_,,,S,ФИЛЬМ,S m inan nom sg
46651,6,по,ПО,PR,,PR,5,атриб,_,_,,,PR,ПО,PR
46652,7,типу,ТИП,S m inan dat sg,,S m inan dat sg,6,предл,_,_,,,S,ТИП,S m inan dat sg
46653,8,	,_,PUNC,,9,PUNC,_,_,,,,_,_,PUNC
46654,9,Yellow,YELLOW,NONLEX,,NONLEX,7,примыкат,_,_,,,NONLEX,YELLOW,NONLEX
46655,10,submarine,SUBMARINE,NONLEX,,NONLEX,9,аппоз,_,_,,,NONLEX,SUBMARINE,NONLEX
46656,11,	,_,PUNC,,10,PUNC,_,_,,,,_,_,PUNC
46657,12,:,:,:,,PUNC,5,опред,_,_,,,:,:,:
46658,13,сначала,СНАЧАЛА,ADV -,,ADV -,14,обст,_,_,,,ADV,СНАЧАЛА,ADV -
46659,14,нафигачим,НАФИГАЧИТЬ,V pf fut pl indic - 1p,,V ipf praes pl indic - 1p,5,сочин,_,_,,,V,НАФИГАЧИТЬ,V ipf praes pl indic - 1p
46660,15,кучу,КУЧА,S f inan acc sg,,S f inan acc sg,14,1-компл,_,_,,,S,КУЧА,S f inan acc sg
46661,16,видео,ВИДЕО,S n inan acc sg,,S n inan nonflex nonflex,15,1-компл,_,_,,,S,ВИДЕО,S n inan nonflex nonflex
46662,17,-,-,-,,PUNC,16,PUNC,_,_,,,-,-,-
46663,18,монтажа,МОНТАЖ,S m inan gen sg,,S m inan gen sg,15,квазиагент,_,_,,,S,МОНТАЖ,S m inan gen sg
46664,19,",",",",",",,PUNC,18,PUNC,_,_,,,",",",",","
46665,20,а,А,CONJ,,CONJ,14,сочин,_,_,,,CONJ,А,CONJ
46666,21,потом,ПОТОМ,ADV -,,ADV -,22,обст,_,_,,,ADV,ПОТОМ,ADV -
46667,22,придумаем,ПРИДУМАТЬ,V pf fut pl indic - 1p,,V pf - pl imper - 1p,20,соч-союзн,_,_,,,V,ПРИДУМАТЬ,V pf - pl imper - 1p
46668,23,смысл,СМЫСЛ,S m inan acc sg,,S m inan acc sg,22,1-компл,_,_,,,S,СМЫСЛ,S m inan acc sg
46669,24,;,;,SENT,,SENT,23,PUNC,_,_,,,SENT,;,SENT
46670,,,,,,,,,,,,,,,
46671,1,но,НО,CONJ,,CONJ,0,ROOT,_,_,,,CONJ,НО,CONJ
46672,2,",",",",",",,PUNC,1,PUNC,_,_,,,",",",",","
46673,3,как,КАК,CONJ,,CONJ,11,вводн,_,_,,,CONJ,КАК,CONJ
46674,4,я,Я,SPRO sg 1p - nom,,SPRO sg 1p - nom,5,предик,_,_,,,SPRO,Я,SPRO sg 1p - nom
46675,5,понял,ПОНЯТЬ,V pf praet sg indic m 1p,,V pf praet sg indic m -,3,сравн-союзн,_,_,,,V,ПОНЯТЬ,V pf praet sg indic m -
46676,6,",",",",",",,PUNC,5,PUNC,_,_,,,",",",",","
46677,7,как бы,как бы,PART,,-,11,вводн,_,_,,,ADV,как бы,ADV -
46678,8,",",",",",",,PUNC,7,PUNC,_,_,,,",",",",","
46679,9,смысл,СМЫСЛ,S m inan nom sg,,S m inan nom sg,11,предик,_,_,,,S,СМЫСЛ,S m inan nom sg
46680,10,видео,ВИДЕО,S n inan gen sg,,S n inan nonflex nonflex,9,квазиагент,_,_,,,S,ВИДЕО,S n inan nonflex nonflex
46681,11,в,В,PR,,PR,1,соч-союзн,_,_,,,PR,В,PR
46682,12,том,ТО,S n inan loc sg,,S n - loc sg,11,предл,_,_,,,S,ТО,S n - loc sg
46683,13,",",",",",",,PUNC,12,PUNC,_,_,,,",",",",","
46684,14,что,ЧТО,CONJ,,CONJ,12,эксплет,_,_,,,CONJ,ЧТО,CONJ
46685,15,всё,ВСЕ,S n inan nom sg,,S n - nom sg,16,предик,_,_,,,S,ВСЕ,S n - nom sg
46686,16,повторяется,ПОВТОРЯТЬСЯ,V ipf praes sg indic n 3p,,V ipf praes sg indic - 3p,14,подч-союзн,_,_,,,V,ПОВТОРЯТЬСЯ,V ipf praes sg indic - 3p
46687,17,.,.,SENT,,SENT,16,PUNC,_,_,,,SENT,.,SENT
46688,,,,,,,,,,,,,,,
46689,1,И,И,CONJ,,CONJ,0,ROOT,_,_,,,CONJ,И,CONJ
46690,2,вот,ВОТ,PART,,PART,3,огранич,_,_,,,PART,ВОТ,PART
46691,3,мы,МЫ,SPRO pl 1p - nom,,SPRO pl 1p - nom,4,предик,_,_,,,SPRO,МЫ,SPRO pl 1p - nom
46692,4,думаем,ДУМАТЬ,V ipf praes pl indic - 1p,,V ipf praes pl indic - 1p,1,соч-союзн,_,_,,,V,ДУМАТЬ,V ipf praes pl indic - 1p
46693,5,",",",",",",,PUNC,4,PUNC,_,_,,,",",",",","
46694,6,то,ТО,CONJ,,S n inan acc sg,4,1-компл,_,_,,,S,ТО,S n inan acc sg
46695,7,что,ЧТО,CONJ,,CONJ,4,2-компл,_,_,,,CONJ,ЧТО,CONJ
46696,8,",",",",",",,PUNC,7,PUNC,_,_,,,",",",",","
46697,9,вот,ВОТ,PART,,PART,12,вводн,_,_,,,PART,ВОТ,PART
46698,10,",",",",",",,PUNC,9,PUNC,_,_,,,",",",",","
46699,11,мы,МЫ,SPRO pl 1p - nom,,SPRO pl 1p - nom,12,предик,_,_,,,SPRO,МЫ,SPRO pl 1p - nom
46700,12,сделали,СДЕЛАТЬ,V pf praet pl indic - 1p,,V pf praet pl indic - -,7,подч-союзн,_,_,,,V,СДЕЛАТЬ,V pf praet pl indic - -
46701,13,что-то,ЧТО-ТО,S n inan nom sg,,S n - nom sg,18,1-компл,_,_,,,S,ЧТО-ТО,S n - nom sg
46702,14,новое,НОВЫЙ,A - acc sg plen n 3p,,A - nom sg plen n -,18,предик,_,_,,,A,НОВЫЙ,A - nom sg plen n -
46703,15,",",",",",",,PUNC,14,PUNC,_,_,,,",",",",","
46704,16,там,ТАМ,PART,,ADV -,18,вводн,_,_,,,ADV,ТАМ,ADV -
46705,17,",",",",",",,PUNC,16,PUNC,_,_,,,",",",",","
46706,18,что-то,ЧТО-ТО,S n inan nom sg,,S n - nom sg,12,1-компл,_,_,,,S,ЧТО-ТО,S n - nom sg
46707,19,гениальное,ГЕНИАЛЬНЫЙ,A - acc sg plen n 3p,,A - nom sg plen n -,12,2-компл,_,_,,,A,ГЕНИАЛЬНЫЙ,A - nom sg plen n -
46708,20,",",",",",",,PUNC,19,PUNC,_,_,,,",",",",","
46709,21,но,НО,CONJ,,CONJ,12,сент-соч,_,_,,,CONJ,НО,CONJ
46710,22,на,НА,PR,,PR,30,обст,_,_,,,PR,НА,PR
46711,23,самом,САМЫЙ,A - loc sg plen n 3p,,A - loc sg plen n -,24,опред,_,_,,,A,САМЫЙ,A - loc sg plen n -
46712,24,деле,ДЕЛО,S n inan loc sg,,S n inan loc sg,22,предл,_,_,,,S,ДЕЛО,S n inan loc sg
46713,25,до,ДО,PR,,PR,30,обст,_,_,,,PR,ДО,PR
46714,26,нас,МЫ,SPRO pl 1p - loc,,SPRO pl 1p - loc,25,предл,_,_,,,SPRO,МЫ,SPRO pl 1p - loc
46715,27,это,ЭТО,S n inan nom sg,,PART,28,огранич,_,_,,,PART,ЭТО,PART
46716,28,кто-то,КТО-ТО,S m anim nom sg,,S m - nom sg,30,1-компл,_,_,,,S,КТО-ТО,S m - nom sg
46717,29,уже,УЖЕ,ADV -,,ADV -,30,огранич,_,_,,,ADV,УЖЕ,ADV -
46718,30,сделал,СДЕЛАТЬ,V pf praet sg indic m 3p,,V pf praet sg indic m -,21,соч-союзн,_,_,,,V,СДЕЛАТЬ,V pf praet sg indic m -
46719,31,.,.,SENT,,SENT,30,PUNC,_,_,,,SENT,.,SENT
46720,,,,,,,,,,,,,,,
46721,1,И,И,CONJ,,CONJ,0,ROOT,_,_,,,CONJ,И,CONJ
46722,2,всё,ВСЕ,ADV -,,ADV -,3,обст,_,_,,,ADV,ВСЕ,ADV -
46723,3,повторяется,ПОВТОРЯТЬСЯ,V ipf praes sg indic n 3p,,V ipf praes sg indic - 3p,1,соч-союзн,_,_,,,V,ПОВТОРЯТЬСЯ,V ipf praes sg indic - 3p
46724,4,.,.,SENT,,SENT,3,PUNC,_,_,,,SENT,.,SENT
46725,,,,,,,,,,,,,,,
46726,1,Студентка,СТУДЕНТКА,NONLEX,,S f anim nom sg,3,предик,_,_,,,S,СТУДЕНТКА,S f anim nom sg
46727,2,@,@,@,,PUNC,3,опред,_,_,,,@,@,@
46728,3,Спасибо,СПАСИБО,PRAEDIC,,S n inan nonflex nonflex,0,ROOT,_,_,,,S,СПАСИБО,S n inan nonflex nonflex
46729,4,.,.,SENT,,SENT,3,PUNC,_,_,,,SENT,.,SENT